id,game_id,player_id,team_id,timeOnIce,assists,goals,pim,shots,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShotsAgainst,evenShotsAgainst,powerPlayShotsAgainst,decision,savePercentage,powerPlaySavePercentage,evenStrengthSavePercentage
235,2015020988,8471695,6,3840,0,0,0,51,47,7,1,39,1,42,8,W,92.15686275,87.5,92.85714286
236,2015020988,8471219,13,2640,0,0,0,16,15,1,0,14,0,15,1,L,93.75,100,93.33333333
237,2015020988,8466141,13,1200,0,0,0,16,12,3,0,9,0,13,3,,75,100,69.23076923
238,2015020975,8475663,12,3853,0,0,0,30,26,4,0,22,0,26,4,L,86.66666667,100,84.61538462
239,2015020975,8471750,14,3857,0,0,0,27,24,4,1,19,1,21,5,W,88.88888889,80,90.47619048
240,2015020629,8471219,13,3600,0,0,0,25,24,6,0,18,0,19,6,W,96,100,94.73684211
241,2015020629,8475660,22,3491,0,0,0,14,12,0,1,11,1,13,0,L,85.71428571,NA,84.61538462
242,2017020728,8477237,9,3467,0,0,0,36,33,2,1,30,1,32,3,L,91.66666667,66.66666667,93.75
243,2017020728,8471774,30,3600,0,0,0,38,37,6,1,30,1,31,6,W,97.36842105,100,96.77419355
244,2016020678,8477237,9,3600,0,0,2,42,42,3,3,36,3,36,3,W,100,100,100
245,2016020678,8475683,29,3431,0,0,0,28,26,4,0,22,0,24,4,L,92.85714286,100,91.66666667
246,2015020797,8475883,24,3600,0,0,0,29,28,10,1,17,1,17,11,W,96.55172414,90.90909091,100
247,2015020797,8473461,4,3504,0,0,0,25,22,3,2,17,2,19,4,L,88,75,89.47368421
248,2015020909,8475839,53,3500,0,0,0,25,22,7,0,15,0,17,8,L,88,87.5,88.23529412
249,2015020909,8466141,13,3598,0,0,0,24,22,5,1,16,1,17,6,W,91.66666667,83.33333333,94.11764706
250,2015021069,8468685,3,2945,0,0,0,47,43,3,1,39,1,42,4,L,91.4893617,75,92.85714286
251,2015021069,8477293,3,655,0,0,0,5,5,0,1,4,1,4,0,,100,NA,100
252,2015021069,8474889,28,3600,0,0,0,26,25,4,0,21,0,22,4,W,96.15384615,100,95.45454545
253,2017020813,8470594,54,3534,0,0,0,38,33,3,1,29,1,34,3,L,86.84210526,100,85.29411765
